overall_score_ratio,estimated_level,unanswered_ratio,a2_accuracy,b1_accuracy,b2_accuracy,meaning_accuracy,context_accuracy,collocation_accuracy,word_form_accuracy,weakest_type,strongest_type,recommendation_label
0.7019,B2,0.0623,0.7661,0.6933,0.6212,0.819,0.613,0.6851,0.763,context,meaning,b1_bridge_builder
0.5838,B1,0.031,0.6908,0.5562,0.5145,0.4988,0.6808,0.5793,0.5638,meaning,context,b1_bridge_builder
0.5489,B1,0.0176,0.5711,0.5466,0.4218,0.5359,0.4502,0.5336,0.6268,context,word-form,b1_bridge_builder
0.5829,B1,0.037,0.6471,0.6212,0.4366,0.6302,0.5089,0.5927,0.6696,context,word-form,b1_bridge_builder
0.5,B1,0.0793,0.6246,0.563,0.395,0.5605,0.498,0.64,0.3983,word-form,collocation,b1_bridge_builder
0.7006,B2,0.0106,0.7472,0.6326,0.5845,0.5897,0.6793,0.7558,0.7135,meaning,collocation,b1_bridge_builder
0.5798,B1,0.0632,0.6406,0.6123,0.5025,0.4728,0.6465,0.6054,0.6209,meaning,context,b1_bridge_builder
0.6013,B1,0.0636,0.6541,0.5785,0.5261,0.6148,0.6375,0.6635,0.5182,word-form,collocation,b1_bridge_builder
0.6728,B1,0.014,0.7144,0.6799,0.5852,0.5861,0.7169,0.6488,0.8066,meaning,word-form,b1_bridge_builder
0.633,B1,0.0596,0.7468,0.6509,0.5688,0.575,0.6134,0.6911,0.7316,meaning,word-form,b1_bridge_builder
0.585,B1,0.072,0.6626,0.5666,0.4528,0.57,0.6597,0.4779,0.5569,collocation,context,b1_bridge_builder
0.6409,B1,0.0087,0.6375,0.6592,0.4783,0.664,0.6503,0.497,0.7069,collocation,word-form,b1_bridge_builder
0.586,B1,0.0017,0.6839,0.5781,0.4527,0.5458,0.4915,0.6817,0.533,context,collocation,b1_bridge_builder
0.5593,B1,0.0366,0.6202,0.5782,0.4446,0.4557,0.6688,0.5452,0.5695,meaning,context,b1_bridge_builder
0.6135,B1,0.0428,0.6832,0.6904,0.5367,0.7137,0.6175,0.5256,0.6236,collocation,meaning,b1_bridge_builder
0.5471,B1,0.0028,0.5827,0.5361,0.4086,0.5794,0.4972,0.5272,0.6391,context,word-form,b1_bridge_builder
0.5632,B1,0.0003,0.6497,0.5543,0.4655,0.674,0.5937,0.4653,0.5699,collocation,meaning,b1_bridge_builder
0.6723,B1,0.0551,0.7072,0.689,0.6032,0.703,0.6799,0.5538,0.7769,collocation,word-form,b1_bridge_builder
0.6695,B1,0.0625,0.7236,0.6918,0.5305,0.6055,0.7624,0.6355,0.6927,meaning,context,b1_bridge_builder
0.8597,B2,0.0333,0.9425,0.9237,0.8446,0.9431,0.7749,0.8911,0.9192,context,meaning,b2_precision_push
0.8059,B2,0.0221,0.8411,0.8783,0.7937,0.7881,0.8776,0.784,0.7328,word-form,context,b2_precision_push
0.7971,B2,0.0378,0.8595,0.8414,0.6794,0.7924,0.7303,0.8265,0.7003,word-form,collocation,b2_precision_push
0.72,B2,0.0413,0.7763,0.7659,0.7131,0.7745,0.7291,0.7945,0.6524,word-form,collocation,b2_precision_push
0.9228,B2,0.0209,0.97,0.9242,0.8723,0.8928,0.97,0.8312,0.8612,collocation,context,b2_precision_push
0.8321,B2,0.0347,0.8949,0.8952,0.8012,0.8974,0.7336,0.8678,0.775,context,meaning,b2_precision_push
0.7478,B2,0.0145,0.7912,0.7759,0.7551,0.6958,0.7258,0.8021,0.7817,meaning,collocation,b2_precision_push
0.8308,B2,0.0349,0.8775,0.9004,0.8259,0.7759,0.8387,0.8524,0.8921,meaning,word-form,b2_precision_push
0.7743,B2,0.0449,0.8227,0.798,0.7346,0.888,0.7943,0.7321,0.791,collocation,meaning,b2_precision_push
0.8638,B2,0.0382,0.8989,0.9144,0.8517,0.7739,0.8039,0.9083,0.885,meaning,collocation,b2_precision_push
0.8115,B2,0.0056,0.8294,0.8765,0.7509,0.8538,0.7503,0.7071,0.8078,collocation,meaning,b2_precision_push
0.7446,B2,0.0391,0.7691,0.7204,0.7105,0.7102,0.7797,0.7531,0.6802,word-form,context,b2_precision_push
0.9071,B2,0.0364,0.97,0.9288,0.8401,0.9441,0.8133,0.8892,0.97,context,word-form,b2_precision_push
0.8013,B2,0.046,0.8638,0.7588,0.7609,0.6705,0.827,0.7712,0.7899,meaning,context,b2_precision_push
0.9154,B2,0.0157,0.9527,0.9317,0.851,0.9101,0.97,0.9076,0.8002,word-form,context,b2_precision_push
0.8466,B2,0.0222,0.8615,0.8632,0.7644,0.8394,0.7535,0.869,0.7835,context,collocation,b2_precision_push
0.8324,B2,0.0329,0.9507,0.8699,0.7613,0.7997,0.8897,0.75,0.8284,collocation,context,b2_precision_push
0.778,B2,0.0061,0.8545,0.7609,0.7165,0.7271,0.6383,0.7902,0.7702,context,collocation,b2_precision_push
0.9335,B2,0.0256,0.9432,0.9443,0.9026,0.9141,0.97,0.897,0.7996,word-form,context,b2_precision_push
0.7402,B2,0.0302,0.8525,0.7893,0.6721,0.8364,0.7484,0.7377,0.7077,word-form,meaning,b2_precision_push
0.7981,B2,0.0405,0.8347,0.8252,0.7559,0.7977,0.8114,0.7159,0.8587,collocation,word-form,b2_precision_push
0.8416,B2,0.0442,0.8517,0.8358,0.814,0.7369,0.9002,0.79,0.8231,meaning,context,b2_precision_push
0.7439,B2,0.0028,0.8268,0.7898,0.7291,0.8305,0.7417,0.7792,0.6834,word-form,meaning,b2_precision_push
0.8025,B2,0.0313,0.8293,0.8436,0.7511,0.7903,0.7993,0.8291,0.6973,word-form,collocation,b2_precision_push
0.7862,B2,0.0085,0.8246,0.8549,0.803,0.8417,0.8617,0.772,0.742,word-form,context,b2_precision_push
0.8207,B2,0.0049,0.8499,0.8493,0.8047,0.7865,0.8199,0.9012,0.8198,meaning,collocation,b2_precision_push
0.8056,B2,0.0425,0.8578,0.8712,0.8351,0.8173,0.7597,0.9161,0.7897,context,collocation,b2_precision_push
0.7757,B2,0.0266,0.8406,0.812,0.7102,0.8487,0.7702,0.6653,0.7753,collocation,meaning,b2_precision_push
0.8267,B2,0.009,0.8657,0.8579,0.7707,0.8654,0.7856,0.733,0.7987,collocation,meaning,b2_precision_push
0.7754,B2,0.0363,0.8246,0.799,0.7344,0.7236,0.6676,0.7561,0.8056,context,word-form,b2_precision_push
0.7719,B2,0.0133,0.838,0.8131,0.7154,0.7282,0.6413,0.8025,0.7585,context,collocation,b2_precision_push
0.7894,B2,0.0453,0.8285,0.8159,0.7965,0.7961,0.7357,0.8673,0.7657,context,collocation,b2_precision_push
0.7944,B2,0.0157,0.8526,0.8286,0.6859,0.8125,0.7894,0.6817,0.7655,collocation,meaning,b2_precision_push
0.7643,B2,0.0332,0.8232,0.8267,0.7496,0.6892,0.7968,0.8717,0.7693,meaning,collocation,b2_precision_push
0.8463,B2,0.0072,0.8951,0.9009,0.7797,0.8745,0.9153,0.7763,0.8668,collocation,context,b2_precision_push
0.7453,B2,0.0392,0.8296,0.7925,0.6997,0.7459,0.8107,0.6731,0.7584,collocation,context,b2_precision_push
0.7729,B2,0.0126,0.8489,0.7444,0.7607,0.7369,0.7369,0.836,0.7069,word-form,collocation,b2_precision_push
0.8211,B2,0.0118,0.9147,0.8125,0.726,0.7591,0.8336,0.7024,0.8666,collocation,word-form,b2_precision_push
0.7785,B2,0.0421,0.8644,0.8461,0.7292,0.7752,0.72,0.8554,0.7527,context,collocation,b2_precision_push
0.8696,B2,0.0315,0.9288,0.8562,0.7887,0.7747,0.9504,0.8487,0.8737,meaning,context,b2_precision_push
0.916,B2,0.0343,0.97,0.9513,0.8745,0.954,0.8287,0.8596,0.8587,context,meaning,b2_precision_push
0.9036,B2,0.0472,0.9184,0.91,0.8167,0.8764,0.9685,0.7889,0.8973,collocation,context,b2_precision_push
0.8955,B2,0.0214,0.9367,0.957,0.8337,0.97,0.8025,0.9116,0.9095,context,meaning,b2_precision_push
0.7652,B2,0.0473,0.8748,0.8114,0.7145,0.6856,0.7788,0.8684,0.7746,meaning,collocation,b2_precision_push
0.907,B2,0.0014,0.97,0.8916,0.8207,0.9073,0.97,0.8297,0.8597,collocation,context,b2_precision_push
0.9067,B2,0.0192,0.97,0.97,0.875,0.9103,0.8701,0.9235,0.97,context,word-form,b2_precision_push
0.8342,B2,0.0023,0.9186,0.8914,0.7845,0.9045,0.7605,0.7102,0.7781,collocation,meaning,b2_precision_push
0.7758,B2,0.0045,0.8077,0.81,0.7246,0.8097,0.8297,0.7583,0.7283,word-form,context,b2_precision_push
0.8581,B2,0.0415,0.9181,0.8951,0.8723,0.9261,0.8434,0.9061,0.7636,word-form,meaning,b2_precision_push
0.8971,B2,0.0115,0.97,0.97,0.8307,0.9446,0.97,0.8563,0.9317,collocation,context,b2_precision_push
0.764,B2,0.0433,0.8181,0.7657,0.6965,0.795,0.7208,0.6847,0.7699,collocation,meaning,b2_precision_push
0.7634,B2,0.0285,0.8233,0.7931,0.7619,0.6884,0.8393,0.7184,0.7456,meaning,context,b2_precision_push
0.8368,B2,0.0077,0.8627,0.8523,0.8184,0.7224,0.8873,0.842,0.7559,meaning,context,b2_precision_push
0.7851,B2,0.0399,0.8015,0.821,0.7562,0.749,0.8173,0.752,0.6936,word-form,context,b2_precision_push
0.7488,B2,0.001,0.7914,0.7599,0.743,0.6697,0.7757,0.7702,0.8005,meaning,word-form,b2_precision_push
0.7514,B2,0.0333,0.8623,0.7827,0.7501,0.7401,0.8333,0.7771,0.6922,word-form,context,b2_precision_push
0.8699,B2,0.0257,0.9432,0.895,0.8695,0.881,0.841,0.9575,0.8964,context,collocation,b2_precision_push
0.9025,B2,0.0064,0.97,0.97,0.8824,0.9333,0.8432,0.9142,0.97,context,word-form,b2_precision_push
0.929,B2,0.0178,0.9619,0.937,0.8926,0.8934,0.8298,0.9057,0.97,context,word-form,b2_precision_push
0.8717,B2,0.0225,0.9276,0.8585,0.8295,0.7944,0.9079,0.8657,0.8714,meaning,context,b2_precision_push
0.8816,B2,0.023,0.9034,0.9111,0.8029,0.9533,0.8394,0.8012,0.8575,collocation,meaning,b2_precision_push
0.7737,B2,0.0008,0.8513,0.8035,0.7224,0.8129,0.8708,0.7871,0.7196,word-form,context,b2_precision_push
0.9093,B2,0.0058,0.9427,0.97,0.8489,0.8226,0.97,0.8883,0.9483,meaning,context,b2_precision_push
0.9132,B2,0.049,0.9256,0.8913,0.8835,0.8976,0.97,0.909,0.8263,word-form,context,b2_precision_push
0.8973,B2,0.0158,0.9585,0.9512,0.8626,0.97,0.8883,0.809,0.9009,collocation,meaning,b2_precision_push
0.7411,B2,0.0294,0.8253,0.7696,0.6965,0.6965,0.7908,0.7473,0.6665,word-form,context,b2_precision_push
0.8488,B2,0.0104,0.913,0.8942,0.8741,0.9396,0.8793,0.846,0.7605,word-form,meaning,b2_precision_push
0.8898,B2,0.0179,0.9275,0.8716,0.8338,0.7705,0.8255,0.8238,0.9553,meaning,word-form,b2_precision_push
0.7568,B2,0.0178,0.8042,0.7846,0.7179,0.853,0.7063,0.7363,0.7363,context,meaning,b2_precision_push
0.7846,B2,0.0391,0.8292,0.8156,0.7249,0.8266,0.7667,0.6863,0.7163,collocation,meaning,b2_precision_push
0.8566,B2,0.005,0.8911,0.8761,0.8125,0.7473,0.8025,0.8549,0.8998,meaning,word-form,b2_precision_push
0.8436,B2,0.0358,0.9168,0.8681,0.7865,0.9412,0.839,0.809,0.8763,collocation,meaning,b2_precision_push
0.8344,B2,0.0472,0.9128,0.8882,0.7746,0.8989,0.7373,0.8317,0.7673,context,meaning,b2_precision_push
0.822,B2,0.0451,0.8347,0.8744,0.7945,0.7096,0.8467,0.767,0.8667,meaning,word-form,b2_precision_push
0.7565,B2,0.035,0.7524,0.7495,0.7043,0.7218,0.827,0.647,0.712,collocation,context,b2_precision_push
0.8231,B2,0.0195,0.9068,0.8873,0.7377,0.8217,0.7205,0.8035,0.8917,context,word-form,b2_precision_push
0.8746,B2,0.0121,0.8998,0.8566,0.8634,0.913,0.7925,0.8231,0.9516,context,word-form,b2_precision_push
0.8872,B2,0.0227,0.9599,0.8773,0.8246,0.8436,0.8436,0.9272,0.8136,word-form,collocation,b2_precision_push
0.9005,B2,0.0389,0.97,0.9171,0.8882,0.8982,0.8682,0.97,0.9239,context,collocation,b2_precision_push
0.8185,B2,0.0389,0.8387,0.8685,0.7711,0.8034,0.7631,0.7931,0.8716,context,word-form,b2_precision_push
0.8723,B2,0.0352,0.9288,0.8971,0.8855,0.8867,0.8884,0.97,0.796,word-form,collocation,b2_precision_push
0.9045,B2,0.002,0.97,0.9235,0.8247,0.8305,0.89,0.9173,0.97,meaning,word-form,b2_precision_push
0.7553,B2,0.041,0.7755,0.8301,0.7596,0.7998,0.8301,0.7021,0.7798,collocation,context,b2_precision_push
0.8424,B2,0.0381,0.9159,0.8553,0.8098,0.7438,0.8548,0.8095,0.9128,meaning,word-form,b2_precision_push
0.8076,B2,0.0335,0.8797,0.901,0.7749,0.8377,0.9021,0.8437,0.7435,word-form,context,b2_precision_push
0.8355,B2,0.0271,0.8931,0.863,0.7371,0.7675,0.7752,0.7223,0.8741,collocation,word-form,b2_precision_push
0.8868,B2,0.0042,0.9121,0.9445,0.8754,0.8718,0.7738,0.9353,0.8747,context,collocation,b2_precision_push
0.8583,B2,0.0271,0.8995,0.8549,0.7558,0.8356,0.8779,0.7759,0.8107,collocation,context,b2_precision_push
0.7667,B2,0.0071,0.8152,0.8384,0.7269,0.8039,0.7335,0.8751,0.7949,context,collocation,b2_precision_push
0.8989,B2,0.0159,0.9695,0.939,0.9135,0.9404,0.9604,0.8228,0.8726,collocation,context,b2_precision_push
0.8152,B2,0.0284,0.8608,0.8969,0.8158,0.7574,0.844,0.9099,0.7874,meaning,collocation,b2_precision_push
0.8365,B2,0.0145,0.8744,0.7993,0.7757,0.9048,0.7438,0.8374,0.813,context,meaning,b2_precision_push
0.8985,B2,0.037,0.97,0.9629,0.8854,0.8516,0.97,0.9242,0.9484,meaning,context,b2_precision_push
0.8562,B2,0.0171,0.9137,0.9184,0.7844,0.9042,0.8058,0.7758,0.8383,collocation,meaning,b2_precision_push
0.7724,B2,0.0451,0.8615,0.8269,0.6925,0.7469,0.8231,0.7564,0.6963,word-form,context,b2_precision_push
0.8721,B2,0.0336,0.8823,0.8476,0.8577,0.8941,0.8749,0.937,0.7673,word-form,collocation,b2_precision_push
0.7728,B2,0.0141,0.9042,0.8251,0.7328,0.7801,0.7801,0.8637,0.7501,word-form,collocation,b2_precision_push
0.9299,B2,0.0105,0.9606,0.9224,0.9147,0.97,0.9156,0.8502,0.9261,collocation,meaning,b2_precision_push
0.7441,B2,0.0033,0.8475,0.8057,0.6858,0.8375,0.7661,0.7586,0.6796,word-form,meaning,b2_precision_push
0.7621,B2,0.0214,0.8534,0.83,0.7802,0.7948,0.6737,0.8067,0.8558,context,word-form,b2_precision_push
